iter	Passed	Remaining
841	208502	39125
842	208747	38877
843	208989	38628
844	209230	38379
845	209471	38130
846	209708	37881
847	209947	37632
848	210189	37383
849	210429	37134
850	210669	36885
851	210907	36636
852	211145	36387
853	211381	36137
854	211613	35887
855	211849	35638
856	212090	35389
857	212329	35140
858	212574	34892
859	212811	34643
860	213051	34395
861	213291	34146
862	213545	33899
863	213783	33651
864	214024	33402
865	214263	33153
866	214500	32904
867	214735	32655
868	214970	32406
869	215210	32157
870	215446	31908
871	215680	31659
872	215912	31409
873	216146	31160
874	216384	30912
875	216621	30663
876	216857	30414
877	217093	30165
878	217331	29917
879	217565	29668
880	217799	29418
881	218038	29170
882	218276	28922
883	218523	28675
884	218760	28426
885	219000	28178
886	219236	27929
887	219470	27681
888	219791	27443
889	220037	27195
890	220284	26948
891	220524	26700
892	220772	26453
893	221018	26205
894	221266	25958
895	221509	25710
896	221764	25464
897	222015	25217
898	222264	24970
899	222517	24724
900	222785	24479
901	223041	24232
902	223301	23986
903	223563	23741
904	223822	23495
905	224081	23249
906	224357	23004
907	224644	22761
908	224915	22516
909	225187	22271
910	225446	22024
911	225719	21779
912	225989	21534
913	226250	21288
914	226522	21043
915	226784	20796
916	227054	20551
917	227315	20304
918	227582	20058
919	227852	19813
920	228124	19567
921	228381	19320
922	228653	19075
923	228931	18829
924	229196	18583
925	229467	18337
926	229758	18093
927	230029	17847
928	230299	17600
929	230576	17355
930	230848	17109
931	231130	16863
932	231413	16618
933	231699	16372
934	231971	16126
935	232247	15880
936	232507	15632
937	232764	15385
938	233017	15137
939	233276	14890
940	233546	14643
941	233806	14395
942	234078	14148
943	234368	13903
944	234636	13656
945	234899	13408
946	235157	13160
947	235411	12912
948	235664	12664
949	235912	12416
950	236161	12168
951	236416	11920
952	236658	11671
953	236897	11422
954	237145	11174
955	237392	10926
956	237636	10677
957	237877	10428
958	238122	10180
959	238356	9931
960	238594	9682
961	238824	9433
962	239057	9184
963	239289	8936
964	239524	8687
965	239757	8438
966	239989	8189
967	240222	7941
968	240458	7692
969	240693	7444
970	240926	7195
971	241157	6946
972	241392	6698
973	241624	6449
974	241855	6201
975	242086	5952
976	242320	5704
977	242554	5456
978	242789	5207
979	243030	4959
980	243288	4712
981	243541	4464
982	243793	4216
983	244040	3968
984	244285	3720
985	244526	3471
986	244769	3223
987	245015	2975
988	245253	2727
989	245492	2479
990	245727	2231
991	245964	1983
992	246202	1735
993	246435	1487
994	246671	1239
995	246904	991
996	247136	743
997	247370	495
998	247604	247
999	247837	0
